date,ncase,ndeath,gender,area,country,type,death
09/08/2020,68,0,unknown,unknown,ireland,confirmed,covid
10/08/2020,26,1,unknown,north,ireland,confirmed,covid
10/08/2020,57,0,unknown,unknown,ireland,confirmed,covid
10/08/2020,-1,0,unknown,unknown,ireland, denotified, denotified
11/08/2020,48,0,unknown,north,ireland,confirmed,covid
11/08/2020,35,1,unknown,unknown,ireland,confirmed,covid
11/08/2020,-2,0,unknown,unknown,ireland, denotified, denotified
12/08/2020,29,0,unknown,north,ireland,confirmed,covid
12/08/2020,40,1,unknown,unknown,ireland,confirmed,covid
12/08/2020,-3,0,unknown,unknown,ireland, denotified, denotified
13/08/2020,8,0,unknown,north,ireland,confirmed,covid
13/08/2020,92,0,unknown,unknown,ireland,confirmed,covid
13/08/2020,-1,0,unknown,unknown,ireland, denotified, denotified
14/08/2020,74,1,unknown,north,ireland,confirmed,covid
14/08/2020,67,0,unknown,unknown,ireland,confirmed,covid
14/08/2020,-1,0,unknown,unknown,ireland, denotified, denotified
