date,county,ncase
13/04/2020,Clare,113
13/04/2020,Donegal,296
13/04/2020,Kildare,509
13/04/2020,Kilkenny,164
13/04/2020,Longford,69
13/04/2020,Louth,236
13/04/2020,Mayo,216
13/04/2020,Meath,369
13/04/2020,Offaly,150
13/04/2020,Roscommon,50
13/04/2020,Sligo,62
13/04/2020,Tipperary,237
13/04/2020,Wexford,61
13/04/2020,Kerry,226
13/04/2020,Waterford,90
13/04/2020,Westmeath,258
13/04/2020,Wicklow,342
13/04/2020,Galway,237
13/04/2020,Limerick,285
13/04/2020,Cork,829
13/04/2020,Dublin,5850
14/04/2020,Laois,133
14/04/2020,Leitrim,43
14/04/2020,Monaghan,161
14/04/2020,Carlow,59
14/04/2020,Cavan,310
14/04/2020,Clare,119
14/04/2020,Donegal,320
14/04/2020,Kildare,567
14/04/2020,Kilkenny,173
14/04/2020,Longford,77
14/04/2020,Louth,350
14/04/2020,Mayo,249
14/04/2020,Meath,405
14/04/2020,Offaly,163
14/04/2020,Roscommon,57
14/04/2020,Sligo,66
14/04/2020,Tipperary,251
14/04/2020,Wexford,71
14/04/2020,Kerry,246
14/04/2020,Waterford,101
14/04/2020,Westmeath,309
14/04/2020,Wicklow,375
14/04/2020,Galway,260
14/04/2020,Limerick,307
14/04/2020,Cork,916
14/04/2020,Dublin,6337
15/04/2020,Laois,139
15/04/2020,Leitrim,46
15/04/2020,Monaghan,166
15/04/2020,Carlow,59
15/04/2020,Cavan,345
15/04/2020,Clare,136
15/04/2020,Donegal,352
15/04/2020,Kildare,621
15/04/2020,Kilkenny,179
15/04/2020,Longford,79
15/04/2020,Louth,384
15/04/2020,Mayo,259
15/04/2020,Meath,421
15/04/2020,Offaly,171
15/04/2020,Roscommon,61
15/04/2020,Sligo,69
15/04/2020,Tipperary,270
15/04/2020,Wexford,76
15/04/2020,Kerry,254
15/04/2020,Waterford,102
15/04/2020,Westmeath,318
15/04/2020,Wicklow,384
15/04/2020,Galway,266
15/04/2020,Limerick,343
15/04/2020,Cork,945
15/04/2020,Dublin,6567
16/04/2020,Laois,147
16/04/2020,Leitrim,46
16/04/2020,Monaghan,170
16/04/2020,Carlow,69
16/04/2020,Cavan,353
16/04/2020,Clare,151
16/04/2020,Donegal,369
16/04/2020,Kildare,684
16/04/2020,Kilkenny,188
16/04/2020,Longford,83
16/04/2020,Louth,406
16/04/2020,Mayo,273
16/04/2020,Meath,461
16/04/2020,Offaly,177
16/04/2020,Roscommon,74
16/04/2020,Sligo,70
16/04/2020,Tipperary,283
16/04/2020,Wexford,85
16/04/2020,Kerry,256
16/04/2020,Waterford,110
16/04/2020,Westmeath,332
16/04/2020,Wicklow,391
16/04/2020,Galway,273
16/04/2020,Limerick,382
16/04/2020,Cork,979
16/04/2020,Dublin,6934
17/04/2020,Laois,168
17/04/2020,Leitrim,47
17/04/2020,Monaghan,174
17/04/2020,Carlow,71
17/04/2020,Cavan,386
17/04/2020,Clare,153
17/04/2020,Donegal,376
17/04/2020,Kildare,763
17/04/2020,Kilkenny,197
17/04/2020,Longford,88
